sample	location	year	latitude	longitude	x	y	dataset	reads
2A1	Flarjuven	2015	-72.02408333	-3.37991667	486913.52802614	2008339.9448152	dt2	24322
A1	Grjotoyra	2016	-72.03430556	2.54063889	484185.752425956	2007180.70291469	dt2	19311
A10	Borgmassivet	2017	-72.64811111	-3.75752778	474783.832502683	1938614.63988318	dt2	22286
A11	Lorenzenpiggen	2017	-71.76197222	-2.82530556	506102.215266497	2037608.34788593	dt2	22424
A12	Lorenzenpiggen	2017	-71.76197222	-2.82547222	506096.393715072	2037608.36473614	dt2	29808
A2	Grjotoyra	2016	-72.03544444	2.54194444	484231.663370903	2007054.01552607	dt2	17904
A3	Grjotoyra	2016	-72.03561111	2.54488889	484333.163347228	2007036.19365248	dt2	28910
A4	Grunehogna	2017	-72.05433333	-2.72513889	509452.395247023	2004985.49697453	dt2	19138
A5	Grunehogna	2017	-72.05402778	-2.7255	509440.132192928	2005019.63502601	dt2	17872
A6	Grunehogna	2017	-72.05436111	-2.72283333	509531.668039176	2004982.03498658	dt2	16176
A7	Borgmassivet	2017	-72.64611111	-3.76294444	474600.698939589	1938835.43799935	dt2	19559
A8	Borgmassivet	2017	-72.64663889	-3.76172222	474642.133139908	1938777.08570396	dt2	16106
A9	Borgmassivet	2017	-72.64969444	-3.75727778	474794.382081234	1938438.13870138	dt2	24809
B1	Lorenzenpiggen	2017	-71.75825	-2.81686111	506398.446176688	2038022.64337328	dt2	29249
B10	Robertskollen	2017	-71.48116667	-3.20155556	492854.94862865	2068925.52924432	dt2	27319
B11	V2_1._Valterkulten._Antarctic_soil_sample_1	2017	-71.89730556	-3.22625	492153.549708107	2022507.42740045	dt2	14532
B12	V2_2._Valterkulten._Antarctic_soil_sample_2	2017	-71.89708333	-3.23277778	491927.068674303	2022531.35289741	dt2	36093
B2	Robertskollen	2017	-71.49136111	-3.23386111	491714.137368728	2067784.3676678	dt2	18395
B3	Robertskollen	2017	-71.49136111	-3.23627778	491628.513446548	2067784.03454391	dt2	27731
B4	Robertskollen	2017	-71.49080556	-3.23566667	491649.923719619	2067846.0823193	dt2	18234
B5	Robertskollen	2017	-71.48811111	-3.20772222	492639.006873772	2068150.24083594	dt2	13095
B6	Robertskollen	2017	-71.48866667	-3.20908333	492590.988198251	2068088.1100732	dt2	22152
B7	Robertskollen	2017	-71.48930556	-3.20644444	492684.742229502	2068017.17298666	dt2	26475
B8	Robertskollen	2017	-71.48069444	-3.20102778	492873.482894305	2068978.26173746	dt2	14928
B9	Robertskollen	2017	-71.48105556	-3.20008333	492907.097295399	2068938.09534905	dt2	19347
C1	V2_3._Valterkulten._Antarctic_soil_sample_3	2017	-71.89483333	-3.31427778	489099.290845306	2022769.49013342	dt2	30706
C10	Mimelia	2016	-72.00922222	2.59383333	485998.16513044	2009991.64615612	dt2	24879
C11	Mimelia	2016	-72.00794444	2.59213889	485938.788324034	2010133.77433654	dt2	27044
C12	Mimelia	2016	-72.008	2.59191667	485931.169266148	2010127.52532339	dt2	26481
C2	Mimelia	2016	-72.01083333	2.60013889	486216.727448081	2009813.39793685	dt2	16079
C3	Mimelia	2016	-72.01091667	2.59997222	486211.044112764	2009804.06408932	dt2	27122
C4	Mimelia	2016	-72.011	2.59972222	486202.488487533	2009794.71225754	dt2	20605
C5	Mimelia	2016	-72.01016667	2.59669444	486097.50048559	2009886.96535654	dt2	8007
C6	Mimelia	2016	-72.01086111	2.59666667	486097.061842173	2009809.50146164	dt2	20144
C7	Mimelia	2016	-72.01033333	2.59638889	486087.09244484	2009868.30564326	dt2	27666
C8	Mimelia	2016	-72.00916667	2.59452778	486022.062964352	2009998.00344605	dt2	17959
C9	Mimelia	2016	-72.00919444	2.59422222	486011.550331103	2009994.83506862	dt2	23782
D1	Mimelia	2016	-72.00697222	2.58925	485838.454400351	2010241.53845184	dt2	26158
D10	Mimelia	2016	-72.00302778	2.57688889	485409.192950172	2010678.54860018	dt2	21850
D11	Mimelia	2016	-72.00191667	2.57425	485317.317435116	2010801.83973116	dt2	20444
D12	Vassdalen	2016	-72.0335	2.67636111	488857.677423967	2007300.92570997	dt2	30582
D2	Mimelia	2016	-72.00702778	2.58891667	485827.004534915	2010235.26293414	dt2	17123
D3	Mimelia	2016	-72.00708333	2.58866667	485818.427666013	2010229.00808741	dt2	24265
D4	Mimelia	2016	-72.00591667	2.58641667	485739.961928894	2010358.60544112	dt2	20237
D5	Mimelia	2016	-72.006	2.58616667	485731.406090612	2010349.25167342	dt2	13998
D6	Mimelia	2016	-72.00605556	2.58586111	485720.913413486	2010342.98214889	dt2	4475
D7	Mimelia	2016	-72.00480556	2.58325	485629.921748601	2010481.78539522	dt2	21651
D8	Mimelia	2016	-72.00388889	2.58047222	485533.429648216	2010583.36525772	dt2	19464
D9	Mimelia	2016	-72.00297222	2.57713889	485417.770467677	2010684.80624913	dt2	17851
E1	Vassdalen	2016	-72.03341667	2.67658333	488865.278097556	2007310.26147835	dt2	22801
E10	Vassdalen	2017	-72.03641667	2.68980556	489322.21808914	2006978.03372928	dt2	24699
E11	Vassdalen	2017	-72.03633333	2.69005556	489330.775902597	2006987.37383347	dt2	23441
E12	Vassdalen	2017	-72.03758333	2.69183333	489392.684996896	2006848.26192635	dt2	29876
E2	Vassdalen	2016	-72.03405556	2.68016667	488989.024157488	2007239.65806167	dt2	19483
E3	Vassdalen	2016	-72.03397222	2.68036111	488995.668801207	2007248.98938923	dt2	27431
E4	Vassdalen	2017	-72.03422222	2.68116667	489023.549501204	2007221.25122633	dt2	20222
E5	Vassdalen	2017	-72.03416667	2.68136111	489030.210637788	2007227.48272991	dt2	10221
E6	Vassdalen	2017	-72.03486111	2.68419444	489128.159085932	2007150.53817413	dt2	24752
E7	Vassdalen	2017	-72.03475	2.68433333	489132.87548671	2007162.95651851	dt2	25303
E8	Vassdalen	2017	-72.03561111	2.68677778	489217.526796057	2007067.34705643	dt2	16961
E9	Vassdalen	2017	-72.03552778	2.68702778	489226.084519187	2007076.68647661	dt2	13789
F1	Vassdalen	2017	-72.03755556	2.69211111	489402.230472897	2006851.40831026	dt2	22537
F10	Brugdedalen	2017	-72.03869444	2.75769444	491660.157191983	2006734.68666122	dt2	17012
F11	Brugdedalen	2017	-72.03869444	2.75802778	491671.630266762	2006734.7327851	dt2	22815
F12	Brugdedalen	2017	-72.04002778	2.75711111	491640.679573718	2006585.88338172	dt2	35668
F2	Vassdalen	2017	-72.03877778	2.694	489467.939605592	2006715.41229366	dt2	33013
F3	Vassdalen	2017	-72.03869444	2.69433333	489479.365059657	2006724.76635616	dt2	57409
F4	Vassdalen	2017	-72.04005556	2.69580556	489530.803617815	2006573.20249308	dt2	16458
F5	Vassdalen	2017	-72.03997222	2.69616667	489543.184640212	2006582.56103378	dt2	10686
F6	Vassdalen	2017	-72.03283333	2.67263889	488729.124855069	2007374.59390235	dt2	9307
F7	Vassdalen	2017	-72.03275	2.67286111	488736.725226523	2007383.93014143	dt2	21655
F8	Brugdedalen	2017	-72.03738889	2.75836111	491682.518778579	2006880.40151577	dt2	31325
F9	Brugdedalen	2017	-72.03738889	2.75869444	491693.99231553	2006880.44751418	dt2	14570
G1	Brugdedalen	2017	-72.04005556	2.75763889	491658.856153438	2006582.85793568	dt2	22330
G10	Grunehogna	2017	-72.05433333	-2.72513889	509452.395247023	2004985.49697453	dt2	32278
G11	Vassdalen_Polygon	2015	-72.02494444	2.63491667	487425.048315997	2008247.05623962	dt2	21860
G12	Vassdalen_Polygon	2015	-72.02491667	2.63511111	487431.726781783	2008250.1942882	dt2	62361
G2	Brugdedalen	2017	-72.04130556	2.75711111	491641.254332528	2006443.35818243	dt2	16317
G3	Brugdedalen	2017	-72.04127778	2.75752778	491655.581014272	2006446.51457495	dt2	36275
G4	Brugdedalen	2017	-72.04269444	2.75716667	491643.790952285	2006288.44843633	dt2	9391
G5	Brugdedalen	2017	-72.04266667	2.75755556	491657.160627049	2006291.59984903	dt2	11861
G6	Brugdedalen	2017	-72.04391667	2.75791667	491670.147254835	2006152.22320422	dt2	24499
G7	Brugdedalen	2017	-72.04388889	2.75830556	491683.516083954	2006155.37556305	dt2	13321
G8	Brugdedalen	2017	-72.04522222	2.75905556	491709.917730255	2006006.75756902	dt2	25815
G9	Brugdedalen	2017	-72.04519444	2.75955556	491727.108584929	2006009.92493741	dt2	19548
H1	Vassdalen_Polygon	2015	-72.02491667	2.63511111	487431.726781783	2008250.1942882	dt2	50431
H10	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	19322
H11	Lorenzenpiggen	2016	-71.76188889	-2.82533333	506101.272151841	2037617.64519159	dt2	30782
H12	Robertskollen	2016	-71.48133333	-3.20005556	492908.184305063	2068907.11753334	dt2	32208
H2	Vassdalen_Polygon	2015	-72.02491667	2.63511111	487431.726781783	2008250.1942882	dt2	4801
H3	Vassdalen_Polygon	2015	-72.02491667	2.63511111	487431.726781783	2008250.1942882	dt2	28731
H4	Vassdalen_Polygon	2015	-72.02491667	2.63511111	487431.726781783	2008250.1942882	dt2	14256
H5	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	690
H6	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	24655
H7	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	21702
H8	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	18891
H9	Vassdalen_Polygon	2015	-72.02588889	2.63330556	487370.197067894	2008141.37515527	dt2	16584
Karin-flarjuven2	Flarjuven	2015	-71.01697222	-3.39719444	486325.727376701	2009110.76841175	dt2	34567
karin-flarjuven3	Flarjuven	2015	-72.01713889	-3.39683333	486705.291106046	2009330.12656033	dt2	14572
Karin-flarjuven4	Flarjuven	2015	-72.01519444	-3.38577778	507203.534309155	2005496.48285556	dt2	5248
Karin-grune1	Grunehogna	2016	-72.04983333	-2.79058333	507135.864346854	2005546.29117874	dt2	26174
Karin-grune2	Grunehogna	2016	-72.04938889	-2.79255556	507216.365852588	2005614.17733385	dt2	16580
Karin-grune3	Grunehogna	2016	-72.04877778	-2.79022222	506109.061432725	2037626.91719912	dt2	36059
Karin-lorenz1	Lorenzenpiggen	2016	-71.76180556	-2.82511111	506658.536811601	2038021.83775521	dt2	30560
Karin-lorenz3	Lorenzenpiggen	2016	-71.75825	-2.80941667	492826.350845381	2068937.82645138	dt2	32102
Karin-RK	Robertskollen	2016	-71.48105556	-3.20236111	492908.184305063	2068907.11753334	dt2	65833
Karin-RK1	Robertskollen	2016	-71.48133333	-3.20005556	492835.15107219	2068956.44564834	dt2	51487
Karin-RK3	Robertskollen	2016	-71.48088889	-3.20211111	492618.367334984	2068140.87545598	dt2	76372
Karin-RK4	Robertskollen	2016	-71.48819444	-3.20830556	492908.184305063	2068907.11753334	dt2	49616
Karin-RK5	Robertskollen	2016	-71.48133333	-3.20005556	491647.200886213	2067787.20602721	dt2	0
Karin-rk6	Robertskollen	2016	-71.49133333	-3.23575	500919.728455116	2021911.57638011	dt2	53016
Karin-schu1	Schumacherfjellet	2016	-71.90277778	-2.97347222	500914.896808135	2021874.39870753	dt2	50748
Karin-schu2	Schumacherfjellet	2016	-71.90311111	-2.97361111	500935.850178866	2038698.28172934	dt2	103205
Karin-schu3	Schumacherfjellet	2016	-71.75227778	-2.97322222	490300.53158204	1995775.77158616	dt2	61908
Karin-slett1	Slettfjell	2016	-72.13688889	-3.28330556	489806.955171254	1995773.38957123	dt2	24118
