files	sample	location	year	latitude	longitude	x	y	dataset	reads
T0-1	T0-1_S137	new_harbour	2018	-77.57881	163.52307	464540.06267773	1388188.37731701	dt3	19654
T0-2	T0-2_S138	new_harbour	2018	-77.57881	163.52307	464540.06267773	1388188.37731701	dt3	22801
T0-3	T0-3_S72	new_harbour	2018	-77.57881	163.52307	464540.06267773	1388188.37731701	dt3	58517
T0-4	T0-4_S140	new_harbour	2018	-77.57881	163.52307	464540.06267773	1388188.37731701	dt3	17226
T50-1	T50-1_S141	new_harbour	2018	-77.58166	163.52771	464659.424035166	1387873.22092896	dt3	21304
T50-2	T50-2_S142	new_harbour	2018	-77.58166	163.52771	464659.424035166	1387873.22092896	dt3	23598
T50-3	T50-3_S143	new_harbour	2018	-77.58166	163.52771	464659.424035166	1387873.22092896	dt3	20841
T50-4	T50-4_S144	new_harbour	2018	-77.58166	163.52771	464659.424035166	1387873.22092896	dt3	18905
T100-1	T100-1_S145	new_harbour	2018	-77.58326	163.53085	464739.251974421	1387696.60827649	dt3	25680
T100-2	T100-2_S146	new_harbour	2018	-77.58326	163.53085	464739.251974421	1387696.60827649	dt3	23529
T100-3	T100-3_S73	new_harbour	2018	-77.58326	163.53085	464739.251974421	1387696.60827649	dt3	81902
T100-4	T100-4_S148	new_harbour	2018	-77.58326	163.53085	464739.251974421	1387696.60827649	dt3	21103
T150-1	T150-1_S149	new_harbour	2018	-77.58806	163.54169	465012.683391699	1387167.59055283	dt3	22823
T150-2	T150-2_S150	new_harbour	2018	-77.58806	163.54169	465012.683391699	1387167.59055283	dt3	21847
T150-3	T150-3_S151	new_harbour	2018	-77.58806	163.54169	465012.683391699	1387167.59055283	dt3	25362
T150-4	T150-4_S152	new_harbour	2018	-77.58806	163.54169	465012.683391699	1387167.59055283	dt3	17499
T200-1	T200-1_S153	new_harbour	2018	-77.59398	163.55348	465311.778966891	1386514.12915314	dt3	23122
T200-2	T200-2_S154	new_harbour	2018	-77.59398	163.55348	465311.778966891	1386514.12915314	dt3	16798
T200-3	T200-3_S74	new_harbour	2018	-77.59398	163.55348	465311.778966891	1386514.12915314	dt3	24644
T200-4	T200-4_S156	new_harbour	2018	-77.59398	163.55348	465311.778966891	1386514.12915314	dt3	17787
T450-1	T450-1_S157	new_harbour	2018	-77.6152	163.58061	466019.540129463	1384162.58532142	dt3	15555
T450-2	T450-2_S158	new_harbour	2018	-77.6152	163.58061	466019.540129463	1384162.58532142	dt3	21622
T450-3	T450-3_S159	new_harbour	2018	-77.6152	163.58061	466019.540129463	1384162.58532142	dt3	22471
T450-4	T450-4_S160	new_harbour	2018	-77.6152	163.58061	466019.540129463	1384162.58532142	dt3	16120
T500-1	T500-1_S161	new_harbour	2018	-77.61658	163.58295	466079.269749233	1384009.97806481	dt3	24947
T500-2	T500-2_S75	new_harbour	2018	-77.61658	163.58295	466079.269749233	1384009.97806481	dt3	9987
T500-3_1	T500-3_S163	new_harbour	2018	-77.61658	163.58295	466079.269749233	1384009.97806481	dt3	3698
T500-3_2	T500-3_S80	new_harbour	2018	-77.61658	163.58295	466079.269749233	1384009.97806481	dt3	6751
T500-4	T500-4_S76	new_harbour	2018	-77.61658	163.58295	466079.269749233	1384009.97806481	dt3	71955
T600-1	T600-1_S165	new_harbour	2018	-77.61942	163.58435	466120.42423166	1383693.93839087	dt3	26964
T600-2	T600-2_S77	new_harbour	2018	-77.61942	163.58435	466120.42423166	1383693.93839087	dt3	81297
T600-3	T600-3_S167	new_harbour	2018	-77.61942	163.58435	466120.42423166	1383693.93839087	dt3	17212
T600-4	T600-4_S168	new_harbour	2018	-77.61942	163.58435	466120.42423166	1383693.93839087	dt3	15059
T650-1	T650-1_S169	new_harbour	2018	-77.62128	163.58542	466151.032142824	1383487.04235594	dt3	24689
T650-2	T650-2_S78	new_harbour	2018	-77.62128	163.58542	466151.032142824	1383487.04235594	dt3	78445
T650-3	T650-3_S171	new_harbour	2018	-77.62128	163.58542	466151.032142824	1383487.04235594	dt3	18483
T650-4	T650-4_S172	new_harbour	2018	-77.62128	163.58542	466151.032142824	1383487.04235594	dt3	20071
T684-1	T684-1_S173	new_harbour	2018	-77.62308	163.58818	466221.897366611	1383287.81341689	dt3	25068
T684-2	T684-2_S79	new_harbour	2018	-77.62308	163.58818	466221.897366611	1383287.81341689	dt3	79380
T684-3	T684-3_S175	new_harbour	2018	-77.62308	163.58818	466221.897366611	1383287.81341689	dt3	22037
T684-4	T684-4_S176	new_harbour	2018	-77.62308	163.58818	466221.897366611	1383287.81341689	dt3	18965
