"latitude" "longitude"
"HV3_3" -85.03285 -177.3167
"HV3_4" -85.03288333 -177.3021167
"HV3_5" -85.03076667 -177.2549167
"HV3_6" -85.03111667 -177.2489333
"HV3_7" -85.0316 -177.2427
"HV3_8" -85.03196667 -177.2374833
"HV3_9" -85.0324 -177.2265167
"MF1_1" -84.62618333 -176.7664333
"MF1_2" -84.62638333 -176.7611
"MF1_3" -84.62646667 -176.7549
"MF1_6" -84.6236 -176.7353
"MF2_1" -84.62351667 -176.73275
"MF2_2" -84.62375 -176.72945
"MF2_3" -84.62373333 -176.7252167
"MF2_4" -84.62266667 -176.75065
"MF3_1" -84.62266667 -176.7455833
"MF3_2" -84.62411667 -176.0409667
"MFx1" -84.62511667 -176.7705333
"MFx2" -84.62411667 -176.04085
"MFx3" -84.62406667 -176.04295
"MSP10X" -84.483 -176.4972667
"MSP11X" -84.46486667 -177.1276667
"MSP13X" -84.48296667 -176.4805333
"MSP1_1" -84.46493333 -177.1614667
"MSP1_2" -84.48301667 -176.51275
"MSP1_4" -84.48306667 -176.5035333
"MSP2_1" -84.48188333 -176.5069667
"MSP2_2" -84.4819 -176.4975333
"MSP2_3" -84.48153333 -176.49465
"MSP3_1" -84.48191667 -176.4879
"MSP3_2" -84.48085 -176.47925
"MSP3_3" -84.48046667 -176.4826833
"MSP3_4" -84.48018333 -176.4880833
"MSP4_1" -84.46606667 -177.1224167
"MSP4_2A" -84.46566667 -177.1357167
"MSP4_2B" -84.46566667 -177.1357167
"MSP4_2C" -84.46566667 -177.1357167
"MSP4_4" -84.46466667 -177.1685
"MSPX1" -84.4784 -176.4787
"MSPX2" -84.48146667 -176.4787
"MSPX3" -84.48146667 -176.4787
"MSPX4" -84.48161667 -176.47655
"MSPX5" -84.48148333 -176.4772167
"MSPX6" -84.48081667 -176.4818167
"NP1_1" -84.53455 -176.4222333
"NP1_2" -84.53411667 -176.4055
"NP1_3" -84.5339 -176.40255
"NP2_2" -84.53505 -175.42705
"NP2_3" -84.5353 -175.42775
"NP2_4" -84.5357 -175.4302667
"NP3_1" -84.5346 -175.4231667
"NP3_2" -84.53366667 -175.4019333
"NP3_3" -84.53406667 -175.4075667
"NP3_4" -84.53441667 -175.4166
"NP4_1" -84.5317 -175.3359667
"NP4_3" -84.53191667 -175.335
"NP4_5" -84.53315 -175.3152333
"NP4_6" -84.6227 -176.7500833
"RM1_8" -85.48678333 -177.0993667
"TGV1_1" -84.92033333 -176.9902
"TGV1_2" -84.91991667 -176.9830833
"TGV1_3" -84.91955 -176.9731667
"TGV1_4" -84.9187 -176.9615667
"TGV1_5" -84.91763333 -176.9316833
"TGV1_6" -84.91668333 -176.9121167
"TGV1_7" -84.91605 -176.8988667
"TGV1_8" -84.91536667 -176.8791333
"TGV2_1" -84.91778333 -177.0528
"TGV2_2" -84.91638333 -177.02175
"TGV2_3" -84.91551667 -176.9955667
"TGV2_4" -84.9145 -176.9688333
"TGV2_5" -84.915 -176.9068833
"TGV2_6" -84.91455 -176.89165
"TGV2_7" -84.9145 -176.88595
"TGV2_8" -84.9174 -177.0489833
"TGV2_extra" -84.91903333 -177.06025
"TGV3_3" -84.9135 -176.9650833
"TGV3_4" -84.91456667 -176.9322833
"TGV3_5" -84.91495 -176.9117667
"TGV3_6" -84.9145 -176.9008333
"TGV3_7" -84.91411667 -176.8959667
"TGV3_8" -84.91358333 -176.8834667
"TGV3_9" -84.91368333 -176.8831667
"TN1_2" -84.92538333 -176.0765
"TN1_3" -84.92523333 -176.0817667
"TN1_5" -84.921 -176.0976
"TN1_6" -84.91865 -176.1080333
"TN1_7" -84.916 -176.1338833
"TN1_8" -84.91481667 -176.1509167
"TN1_9Bonus" -84.91556667 -176.1465833
"TN1_9" -84.91556667 -176.1465833
"TN2_1" -84.92381667 -176.0987667
"TN2_2" -84.92416667 -176.0996167
"TN2_3" -84.92451667 -176.09975
"TN2_4" -84.92548333 -176.1047
"TN2_5" -84.92635 -176.1060167
"TN2_6" -84.9266 -176.1063333
"TN2_7" -84.92663333 -176.10935
"TN2_8" -84.92661667 -176.1107833
"TN3_1" -84.92271667 -176.1242333
"TN3_2" -84.92166667 -176.1252333
"TN3_5" -84.9182 -176.1281667
"T0-1_S137" -77.57881 163.52307
"T0-2_S138" -77.57881 163.52307
"T0-3_S72" -77.57881 163.52307
"T0-4_S140" -77.57881 163.52307
"T100-1_S145" -77.58326 163.53085
"T100-2_S146" -77.58326 163.53085
"T100-3_S73" -77.58326 163.53085
"T100-4_S148" -77.58326 163.53085
"T150-1_S149" -77.58806 163.54169
"T150-2_S150" -77.58806 163.54169
"T150-3_S151" -77.58806 163.54169
"T150-4_S152" -77.58806 163.54169
"T200-1_S153" -77.59398 163.55348
"T200-2_S154" -77.59398 163.55348
"T200-3_S74" -77.59398 163.55348
"T200-4_S156" -77.59398 163.55348
"T450-1_S157" -77.6152 163.58061
"T450-2_S158" -77.6152 163.58061
"T450-3_S159" -77.6152 163.58061
"T450-4_S160" -77.6152 163.58061
"T50-1_S141" -77.58166 163.52771
"T50-2_S142" -77.58166 163.52771
"T50-3_S143" -77.58166 163.52771
"T50-4_S144" -77.58166 163.52771
"T500-1_S161" -77.61658 163.58295
"T500-2_S75" -77.61658 163.58295
"T500-3_S80" -77.61658 163.58295
"T500-4_S76" -77.61658 163.58295
"T600-1_S165" -77.61942 163.58435
"T600-2_S77" -77.61942 163.58435
