"latitude" "longitude"
"P9AL" -62.6457 -60.9785
"SRS7937789" -73.3508 166.373
"SRS7937792" -73.3508 166.379
"SRS7937795" -75.4052 162.5338
"SRS7937797" -75.4054 162.5345
"SRS7937801" -75.5355 162.3535
"SRS7937802" -75.5357 162.3531
"SRS7937804" -75.5355 162.3532
"SRS7937806" -73.3109 167.2555
"SRS7937807" -75.5355 162.3532
"SRS7937808" -74.1945 165.0738
"SRS7937809" -74.4209 164.013
"SRS7937810" -74.1945 165.0735
"SRS7937811" -74.1937 165.0756
"SRS7937812" -74.1937 165.0756
"SRS7937813" -74.1944 165.0742
"SRS7937814" -77.3614 163.1613
"SRS7937816" -74.0411 165.1858
"SRS7937817" -77.3726 162.5327
"SRS7937818" -74.4207 164.012
"SRS7937819" -74.059 164.2128
"SRS7937820" -74.4207 164.012
"SRS7937821" -74.4207 164.012
"SRS7937822" -74.4209 164.013
"SRS7937823" -74.4207 164.012
"SRS7937824" -77.3726 162.5327
"SRS7937825" -73.311 167.2555
"SRS7937826" -73.3114 167.2556
"SRS7937827" -77.3725 162.5327
"SRS7937830" -77.4221 161.3414
"SRS7937831" -77.3146 161.3432
"SRS7937836" -77.2228 161.4914
"SRS7937837" -74.0411 165.1858
"SRS7937838" -74.0411 165.1858
"SRS7937840" -74.0412 165.1859
"SRS7937841" -73.3114 167.2556
"SRS7937842" -73.3114 167.2556
"SRS7937843" -74.1945 165.0738
"SRS7937845" -74.1945 165.0738
"SRS7937846" -74.1945 165.0738
"SRS7937847" -74.1945 165.0749
"SRS7937848" -74.1945 165.0749
"SRS7937849" -73.311 167.2555
"SRS7937850" -74.1944 165.0742
"SRS7937851" -74.1945 165.0749
"SRS7942199" -77.367 163.165
"SRS7942200" -77.367 163.165
"SRR5138461" -62.19 -58.94
"SRR5138462" -62.99 -60.68
"SRR2980684" -72.05023 23.28767
"SRR2980685" -72.05027 23.28769
"SRR2980686" -72.08948 23.33523
"SRR2980687" -72.06374 23.40092
"SRR2980688" -72.06623 23.41172
"SRR2980689" -72.06614 23.40815
"SRR2980690" -71.94606 23.34544
"SRR2980691" -72.00204 22.99958
"SRR2980692" -71.83301 24.5283
"SRR2980693" -71.83353 24.52969
"SRR2980694" -71.82792 24.62062
"SRR2980695" -71.8664 24.58973
"SRR2980696" -72.04942 23.27955
"SRR2980697" -71.86701 24.58786
"SRR2980698" -71.86694 24.58725
"SRR2980699" -71.86713 24.58633
"SRR2980700" -71.83269 24.52615
"SRR2980701" -71.95794 23.32939
"SRR2980702" -71.99825 23.51706
"SRR2980703" -71.95656 23.32908
"SRR2980704" -71.99344 23.49622
"SRR2980705" -71.94649 23.34574
"SRR2980706" -71.94635 23.34588
"SRR2980707" -72.09937 23.27033
"SRR2980708" -71.94634 23.34601
"SRR2980709" -71.94638 23.34602
"SRR2980710" -71.94638 23.34602
"SRR2980711" -71.94592 23.34512
"SRR2980712" -71.95541 23.34674
"SRR2980713" -71.95577 23.34604
"SRR2980714" -71.98425 22.99203
"SRR2980715" -71.98497 22.99049
"SRR2980716" -71.98576 22.98755
"SRR2980717" -72.01939 23.0785
"SRR2980718" -72.0994 23.27023
"SRR2980719" -71.94731 23.34717
"SRR2980720" -72.02615 23.08335
"SRR2980721" -72.01945 23.118
"SRR2980722" -72.01945 23.118
"SRR2980723" -72.01517 23.17256
"SRR2980724" -72.05268 23.2247
"SRR2980725" -72.05433 23.21099
"SRR2980726" -72.04881 23.25527
"SRR2980727" -72.05384 23.26192
"SRR2980728" -71.87022 22.74772
"SRR2980729" -72.10023 23.25328
"SRR2980730" -71.86011 22.78047
"SRR2980731" -71.85713 22.79267
"SRR2980733" -71.95698 23.3463
"SRR2980734" -71.95701 23.34628
"SRR2980735" -71.95705 23.34619
"SRR2980736" -72.08946 23.33138
"SRR2981656" -71.98822 23.49192
"AFT10_S1" -68.55162427 78.01818363
"AFT1100_S73" -68.55091815 78.01969416
"AFT1102_S14" -68.5509027 78.01972064
"AFT12_S37" -68.55161007 78.01821664
"AFT1200_S50" -68.5501738 78.02103134
"AFT1202_S86" -68.5501595 78.02106158
"AFT20_S13" -68.55163368 78.01821475
"AFT2100_S85" -68.55092677 78.01973652
"AFT2102_S26" -68.55091181 78.0197626
"AFT22_S49" -68.55161974 78.01824459
"AFT2200_S62" -68.55018705 78.02107627
"AFT2202_S3" -68.55017309 78.02110657
"AFT30_S25" -68.5516471 78.01825411
"AFT3100_S2" -68.550939 78.01977853
"AFT3102_S38" -68.55092317 78.01980162
"AFT32_S61" -68.55163244 78.01828692
"AFT3200_S74" -68.55019814 78.0211121
"AFT3202_S15" -68.55018353 78.02113898
"BPT10_L001" -66.472462 110.549556
"BPT1100_L001" -66.472103 110.547549
"BPT1102_L001" -66.472083 110.54753
"BPT12_L001" -66.472454 110.549517
"BPT1200_L001" -66.47172 110.545522
"BPT1202_L001" -66.471712 110.545481
"BPT20_L001" -66.472446 110.549589
"BPT2100_L001" -66.472084 110.547584
"BPT2102_L001" -66.472064 110.547559
"BPT22_L001" -66.472438 110.549547
"BPT2200_L001" -66.471695 110.545533
"BPT2202_L001" -66.471688 110.545492
"BPT30_L001" -66.472427 110.549601
"BPT3100_L001" -66.472067 110.547625
"BPT3102_L001" -66.472047 110.547598
"BPT32_L001" -66.472417 110.549563
"BPT3200_L001" -66.47168 110.545536
"BPT3202_L001" -66.471673 110.545495
"HVT10_S44_L001" -68.57783479 78.00607381
"HVT1100_S76_L001" -68.57868126 78.00530884
"HVT1102_S92_L001" -68.57869999 78.0052991
"HVT12_S15_L001" -68.57785159 78.00605502
"HVT1202_S79_L001" -68.57954464 78.00453017
"HVT20_S45_L001" -68.57782833 78.00602663
"HVT2100_S77_L001" -68.57867393 78.00526999
"HVT22_S61_L001" -68.57784488 78.00601067
"HVT2200_S29_L001" -68.57952041 78.00450317
"HVT2202_S56_L001" -68.57953617 78.00448251
"HVT30_S46_L001" -68.57782167 78.00596496
"HVT3100_S78_L001" -68.57866558 78.00522819
"HVT3102_S94_L001" -68.57868208 78.00520962
"HVT32_S62_L001" -68.57783812 78.00594526
"HVT3200_S30_L001" -68.57950966 78.00446429
"HVT3202_S33_L001" -68.57952524 78.0044411
"MPT10_L001" -66.311403 110.529715
"MPT1100_L001" -66.311756 110.532207
"MPT1102_L001" -66.311772 110.532241
"MPT12_L001" -66.311407 110.529765
"MPT1200_L001" -66.312659 110.534395
"MPT20_L001" -66.311415 110.529701
"MPT2100_L001" -66.311774 110.532177
"MPT2102_L001" -66.311782 110.532214
"MPT22_L001" -66.311424 110.529736
"MPT2200_L001" -66.31267 110.534361
"MPT2202_L001" -66.312698 110.534387
"MPT30_L001" -66.31143 110.529679
"MPT3100_L001" -66.311784 110.532141
"MPT3102_L001" -66.311788 110.532182
"MPT32_L001" -66.311438 110.529717
"MPT3200_L001" -66.312681 110.534323
"MPT3202_L001" -66.3127 110.534339
"OWT10_S27" -68.60009771 77.95220576
"OWT1100_S4" -68.59969881 77.95439107
"OWT1102_S40" -68.59969094 77.95444016
"OWT12_S63" -68.60009083 77.95225026
"OWT1200_S76" -68.59930911 77.95659397
"OWT1202_S17" -68.59930008 77.9566359
"OWT20_S39" -68.6001128 77.95222662
"OWT2100_S16" -68.59971566 77.95441188
"OWT2102_S52" -68.59970798 77.95446059
"OWT22_S75" -68.60010604 77.95227106
"OWT2200_S88" -68.59932416 77.95661894
"OWT2202_S29" -68.59931563 77.95666339
"OWT30_S51" -68.60012912 77.9522501
"OWT3100_S28" -68.59973262 77.95443532
"OWT3102_S64" -68.59972373 77.95448059
"OWT32_S87" -68.60012223 77.95229315
"OWT3200_S5" -68.59934009 77.95664338
"OWT3202_S41" -68.59933215 77.95668727
"RLT10_S53" -68.49379819 78.10926256
"RLT1100_S30" -68.49316607 78.11097645
"RLT1102_S66" -68.49315624 78.1110195
"RLT12_S89" -68.49378616 78.10929862
"RLT1200_S7" -68.49268679 78.11302935
"RLT1202_S43" -68.49267551 78.11306898
"RLT20_S65" -68.49380978 78.10929839
"RLT2100_S42" -68.49318282 78.11099973
"RLT2102_S78" -68.49317235 78.11104315
"RLT22_S6" -68.49379753 78.10933318
"RLT2200_S19" -68.49269971 78.11305969
"RLT2202_S55" -68.49269046 78.11310361
"RLT30_S77" -68.49382588 78.10934362
"RLT3100_S54" -68.4932045 78.11105542
"RLT3102_S90" -68.49319363 78.11109442
"RLT32_S18" -68.49381294 78.10937815
"RLT3202_S67" -68.49270402 78.11312206
"RRT10_L001" -66.36774 110.58534
"RRT1100_L001" -66.368572 110.585669
"RRT1102_L001" -66.36859 110.585662
"RRT12_L001" -66.367756 110.58535
"RRT1200_L001" -66.36945 110.585627
"RRT1202_L001" -66.369468 110.585626
"RRT20_L001" -66.367739 110.585302
"RRT2100_L001" -66.368566 110.585623
"RRT2102_L001" -66.368588 110.585621
"RRT2200_L001" -66.369451 110.585574
"RRT2202_L001" -66.369467 110.585574
"RRT3100_L001" -66.368564 110.585581
"RRT3102_L001" -66.368584 110.585569
"RRT3200_L001" -66.369448 110.58553
"RRT3202_L001" -66.369464 110.585531
"SRR16979878" -66.411375 110.658213
"SRR16979879" -66.41082 110.656534
"SRR16979880" -66.410222 110.654867
"SRR16979881" -66.410781 110.656556
"SRR16979882" -66.410199 110.654866
"SRR16979883" -66.282252 110.526457
"SRR16979884" -66.282257 110.526499
"SRR16979885" -66.282236 110.52649
"SRR16979886" -66.282222 110.526503
"SRR16979887" -66.28223 110.526545
"TRT10_S38_L001" -68.54085826 78.07596687
"TRT1100_S30_L001" -68.54154093 78.07440274
"TRT1102_S16_L001" -68.5415545 78.07437105
"TRT12_S29_L001" -68.54087191 78.07593558
"TRT1200_S45_L001" -68.54221902 78.07281854
"TRT1202_S24_L001" -68.54223234 78.07278591
"TRT20_S53_L001" -68.54086593 78.07600309
"TRT2100_S60_L001" -68.54155727 78.07446684
"TRT2102_S73_L001" -68.54157073 78.07443473
"TRT22_S4_L001" -68.54087976 78.07597236
"TRT2200_S15_L001" -68.54289851 78.07125433
"TRT2202_S51_L001" -68.54223698 78.07284545
"TRT30_S56_L001" -68.54087454 78.07605527
"TRT3100_S44_L001" -68.54156633 78.07452874
"TRT3102_S92_L001" -68.54157988 78.0744968
"TRT3200_S72_L001" -68.54224388 78.0729315
"TRT3202_S35_L001" -68.54225747 78.07289893
