sample	location	year	latitude	longitude	x	y	dataset	reads
ERR2660616	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	89619
ERR2660617	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	18767
ERR2660618	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	20029
ERR2660619	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	49776
ERR2660620	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	18420
ERR2660621	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	17096
ERR2660622	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	11785
ERR2660624	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	10833
ERR2660625	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	150704
ERR2660627	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	75527
ERR2660628	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	16689
ERR2660629	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	16944
ERR2660630	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	18056
ERR2660631	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	29556
ERR2660632	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	13953
ERR2660633	Wright_Valley_floor	2017	-77.4666648	162.5166646	439858.50263716	1399877.26710653	dt72	28023
