files	sample	location	year	latitude	longitude	x	y	dataset	reads
R1_AV1_1.fastq.gz	AV1_1	Augustana_Valley	2017	-85.17621667	-174.0884833	527323.268591447	539902.351701358	dt1	2936
R1_AV1_2.fastq.gz	AV1_2	Augustana_Valley	2017	-85.17623333	-174.0921667	527288.636807987	539902.243354825	dt1	24966
R1_AV1_4.fastq.gz	AV1_4	Augustana_Valley	2017	-85.17621667	-174.09745	527239.191253984	539906.606100531	dt1	40137
R1_AV1_5.fastq.gz	AV1_5	Augustana_Valley	2017	-85.17611667	-174.1005	527211.1551522	539919.200276496	dt1	38162
R1_AV1_6.fastq.gz	AV1_6	Augustana_Valley	2017	-85.17621667	-174.1026333	527190.589120042	539909.059422545	dt1	17880
R1_AV1_7.fastq.gz	AV1_7	Augustana_Valley	2017	-85.17615	-174.1070667	527149.392711683	539918.588106053	dt1	18316
R1_AV1_8.fastq.gz	AV1_8	Augustana_Valley	2017	-85.17595	-174.1165333	527061.744581042	539945.351070596	dt1	38226
R1_AV2_1.fastq.gz	AV2_1	Augustana_Valley	2017	-85.1706	-174.1338	526929.588752007	540549.997709678	dt1	41532
R1_AV2_2.fastq.gz	AV2_2	Augustana_Valley	2017	-85.17028333	-174.1349833	526920.240943859	540585.861677019	dt1	47600
R1_AV2_4.fastq.gz	AV2_4	Augustana_Valley	2017	-85.1696	-174.1364	526910.738048219	540662.71872675	dt1	32474
R1_AV2_5.fastq.gz	AV2_5	Augustana_Valley	2017	-85.16913333	-174.1371833	526905.975920694	540715.120819274	dt1	1546
R1_AV2_7.fastq.gz	AV2_7	Augustana_Valley	2017	-85.16801667	-174.1389	526896.055521109	540840.436054686	dt1	8255
R1_AV2_8.fastq.gz	AV2_8	Augustana_Valley	2017	-85.16761667	-174.1393333	526894.206383368	540885.240377666	dt1	28491
R1_AV3_1.fastq.gz	AV3_1	Augustana_Valley	2017	-85.17068333	-174.1483	526793.002958105	540547.479863128	dt1	31389
R1_AV3_2.fastq.gz	AV3_2	Augustana_Valley	2017	-85.1703	-174.1474833	526802.792173931	540589.842434455	dt1	35727
R1_AV3_3.fastq.gz	AV3_3	Augustana_Valley	2017	-85.16941667	-174.14615	526820.202498616	540687.716318382	dt1	5544
R1_AV3_4.fastq.gz	AV3_4	Augustana_Valley	2017	-85.16831667	-174.1512667	526778.237123987	540812.756648391	dt1	29800
R1_AV3_5.fastq.gz	AV3_5	Augustana_Valley	2017	-85.16756667	-174.1528167	526767.823272138	540897.107381821	dt1	42653
R1_AV3_6.fastq.gz	AV3_6	Augustana_Valley	2017	-85.16716667	-174.1518667	526778.958535435	540941.267189486	dt1	26290
R1_AV3_8.fastq.gz	AV3_8	Augustana_Valley	2017	-85.16738333	-174.1452167	526840.232342329	540914.007897599	dt1	1574
R1_BP1_1.fastq.gz	BP1_1	Bennett_Platform	2017	-85.21261667	-177.3386167	496844.836919115	536521.230049405	dt1	42780
R1_BP1_2.fastq.gz	BP1_2	Bennett_Platform	2017	-85.21048333	-177.3285167	496937.584861786	536759.941313418	dt1	32375
R1_BP1_3.fastq.gz	BP1_3	Bennett_Platform	2017	-85.20783333	-177.3224167	496992.789147871	537056.108368034	dt1	26890
R1_BP1_4.fastq.gz	BP1_4	Bennett_Platform	2017	-85.20495	-177.3292333	496927.367543726	537377.641892012	dt1	34038
R1_BP1_5.fastq.gz	BP1_5	Bennett_Platform	2017	-85.20321667	-177.3433333	496794.622619079	537570.380239313	dt1	32956
R1_BP1_6.fastq.gz	BP1_6	Bennett_Platform	2017	-85.20146667	-177.3620167	496618.965558437	537764.678946117	dt1	29866
R1_BP1_7.fastq.gz	BP1_7	Bennett_Platform	2017	-85.20093333	-177.3721	496524.409102563	537823.619344719	dt1	21737
R1_BP1_8.fastq.gz	BP1_8	Bennett_Platform	2017	-85.20063333	-177.3757667	496489.941979264	537856.888318913	dt1	33519
R1_BP2_1.fastq.gz	BP2_1	Bennett_Platform	2017	-85.21213333	-177.3576	496667.62090088	536574.11886155	dt1	33842
R1_BP2_2.fastq.gz	BP2_2	Bennett_Platform	2017	-85.2116	-177.3588833	496655.290676749	536633.584927075	dt1	23176
R1_BP2_3.fastq.gz	BP2_3	Bennett_Platform	2017	-85.21121667	-177.3620333	496625.664323866	536676.195549225	dt1	32746
R1_BP2_4.fastq.gz	BP2_4	Bennett_Platform	2017	-85.21023333	-177.3673167	496575.71965713	536785.662479887	dt1	1570
R1_BP2_5A.fastq.gz	BP2_5A	Bennett_Platform	2017	-85.20721667	-177.3887	496374.101722775	537121.128490584	dt1	39381
