sample	location	year	latitude	longitude	x	y	dataset	reads
A_4	Alatna_Valley	1995-1996	-76.89465	161.13915	554133.2313	1463998.697	dt8	10642
A_5	Alatna_Valley	1995-1996	-76.89465	161.13915	554133.2313	1463998.697	dt8	19399
A_6	Alatna_Valley	1995-1996	-76.89465	161.13915	554133.2313	1463998.697	dt8	11696
BA_2	Wall_Valley	2010-2012	-77.49361667	160.8710306	545222.3646	1397421.104	dt8	18762
BA_5	Wall_Valley	2010-2012	-77.49361667	160.8710306	545222.3646	1397421.104	dt8	41463
BA_6	Wall_Valley	2010-2012	-77.49361667	160.8710306	545222.3646	1397421.104	dt8	24117
BR_2	Brownsworth_Lower_Wright_Valley	2005-2006	-77.43863333	162.7288028	444872.5028	1403211.342	dt8	8606
BR_3	Brownsworth_Lower_Wright_Valley	2005-2006	-77.43863333	162.7288028	444872.5028	1403211.342	dt8	6998
BR_6	Brownsworth_Lower_Wright_Valley	2005-2006	-77.43863333	162.7288028	444872.5028	1403211.342	dt8	31650
BSP3	Battleship_Promotory	2003-2004	-76.92235	161.0814333	552563.8833	1460961.842	dt8	5577
BSP4	Battleship_Promotory	2003-2004	-76.92235	161.0814333	552563.8833	1460961.842	dt8	8333
BSP5	Battleship_Promotory	2003-2004	-76.92235	161.0814333	552563.8833	1460961.842	dt8	4934
D_1	DAIS_Lower_Wright_Valley	2005-2006	-77.54776667	161.2364167	553819.6684	1391073.278	dt8	5565
D_5	DAIS_Lower_Wright_Valley	2005-2006	-77.54776667	161.2364167	553819.6684	1391073.278	dt8	3581
D_6	DAIS_Lower_Wright_Valley	2005-2006	-77.54776667	161.2364167	553819.6684	1391073.278	dt8	14015
F_2	Lower_Taylor_Valley	2001-2003	-77.60769444	163.2506833	458098.0782	1384786.503	dt8	4778
F_3	Lower_Taylor_Valley	2001-2003	-77.60769444	163.2506833	458098.0782	1384786.503	dt8	6133
F_6	Lower_Taylor_Valley	2001-2003	-77.60769444	163.2506833	458098.0782	1384786.503	dt8	4898
H_1	Hawkings_Cirque_Upper_Wright_Valley	2010-2011	-77.51019167	160.5785972	538106.3408	1395779.765	dt8	8813
H_3	Hawkings_Cirque_Upper_Wright_Valley	2010-2011	-77.51019167	160.5785972	538106.3408	1395779.765	dt8	14795
H_5	Hawkings_Cirque_Upper_Wright_Valley	2010-2011	-77.51019167	160.5785972	538106.3408	1395779.765	dt8	9028
HG_1	Garwood_Valley	2011-2012	-78.0386	163.8506028	473408.8691	1337061.704	dt8	51030
HG_3	Garwood_Valley	2011-2012	-78.0386	163.8506028	473408.8691	1337061.704	dt8	23893
HG_4	Garwood_Valley	2011-2012	-78.0386	163.8506028	473408.8691	1337061.704	dt8	44429
HM_1	Miers_Valley	2011-2012	-78.11667222	163.7507917	471285.9331	1328303.364	dt8	37037
HM_4	Miers_Valley	2011-2012	-78.11667222	163.7507917	471285.9331	1328303.364	dt8	26777
HM_6	Miers_Valley	2011-2012	-78.11667222	163.7507917	471285.9331	1328303.364	dt8	32689
L2	Levy_Cirque_Beacon_Valley	2018-2019	-77.79723333	160.6154778	538114.1874	1363733.91	dt8	14415
L4	Levy_Cirque_Beacon_Valley	2018-2019	-77.79723333	160.6154778	538114.1874	1363733.91	dt8	26567
L6	Levy_Cirque_Beacon_Valley	2018-2019	-77.79723333	160.6154778	538114.1874	1363733.91	dt8	20857
LG_1	Garwood_Valley	2011-2012	-78.02647778	163.8512083	473396.3428	1338414.58	dt8	65620
LG_2	Garwood_Valley	2011-2012	-78.02647778	163.8512083	473396.3428	1338414.58	dt8	51296
LG_3	Garwood_Valley	2011-2012	-78.02647778	163.8512083	473396.3428	1338414.58	dt8	92492
LM_3	Miers_Valley	2011-2012	-78.10059722	163.8091194	472589.9778	1330124.939	dt8	14349
LM_5	Miers_Valley	2011-2012	-78.10059722	163.8091194	472589.9778	1330124.939	dt8	82163
LM_6	Miers_Valley	2011-2012	-78.10059722	163.8091194	472589.9778	1330124.939	dt8	25236
MF_1	Mt_Falconer	2001-2003	-77.57317222	163.1585972	455772.0749	1388569.772	dt8	34451
MF_3	Mt_Falconer	2001-2003	-77.57317222	163.1585972	455772.0749	1388569.772	dt8	49913
MF_4	Mt_Falconer	2001-2003	-77.57317222	163.1585972	455772.0749	1388569.772	dt8	65615
MS_1	Mt_Seuss	2010-2013	-77.03662778	161.7101194	567843.5957	1447575.524	dt8	134836
MS_2	Mt_Seuss	2010-2013	-77.03662778	161.7101194	567843.5957	1447575.524	dt8	97243
MS_3	Mt_Seuss	2010-2013	-77.03662778	161.7101194	567843.5957	1447575.524	dt8	116972
SU_1	Mt_Seuss	2008-2009	-77.01780833	161.7385694	568653.1025	1449640.471	dt8	32285
SU_3	Mt_Seuss	2008-2009	-77.01780833	161.7385694	568653.1025	1449640.471	dt8	20472
SU_6	Mt_Seuss	2008-2009	-77.01780833	161.7385694	568653.1025	1449640.471	dt8	37057
UVV_3	Upper_Victoria_Valley	1993-1994	-77.34212222	161.6870222	565707.1848	1413544.571	dt8	10121
UVV_5	Upper_Victoria_Valley	1993-1994	-77.34212222	161.6870222	565707.1848	1413544.571	dt8	12598
UVV_6	Upper_Victoria_Valley	1993-1994	-77.34212222	161.6870222	565707.1848	1413544.571	dt8	7820
UW_1	Labyrinth_Upper_Wright_Valley	2005-2006	-77.55761389	160.9545806	547003.2013	1390217.176	dt8	4695
UW_4	Labyrinth_Upper_Wright_Valley	2005-2006	-77.55761389	160.9545806	547003.2013	1390217.176	dt8	4728
UW_6	Labyrinth_Upper_Wright_Valley	2005-2006	-77.55761389	160.9545806	547003.2013	1390217.176	dt8	6147
N1	blank	NA	NA	NA	NA	NA	dt8	0
N2	blank	NA	NA	NA	NA	NA	dt8	16
N3	blank	NA	NA	NA	NA	NA	dt8	24
N4	blank	NA	NA	NA	NA	NA	dt8	61
N5	blank	NA	NA	NA	NA	NA	dt8	2
REAGENT	blank	NA	NA	NA	NA	NA	dt8	9
